+------------------------------+----------+
|           feature            | avg_coef |
+------------------------------+----------+
|       rel_spread_log1p       |  8.7896  |
|          microprice          |  4.343   |
|    microprice_weighted_10    |  4.262   |
|    realized_vol_20_log1p     |  1.3558  |
|      trade_count_log1p       |  1.0688  |
|         vol_20_log1p         | -0.7485  |
|  total_ask_volume_10_log1p   | -0.6686  |
|     max_trade_size_log1p     |  0.6188  |
|     std_trade_size_log1p     | -0.5896  |
|    max_over_average_log1p    |  -0.52   |
|   total_book_volume_log1p    |  0.4504  |
|      trade_count_change      |  0.4415  |
|  total_bid_volume_10_log1p   | -0.4199  |
| max_bid_ask_vol_ratio_log1p  |  0.3977  |
|     realized_vol_5_log1p     |  0.2774  |
|     avg_trade_size_log1p     | -0.2649  |
|   lob_bids_volume_1_log1p    |  -0.249  |
|   total_trade_volume_log1p   |  0.2425  |
|       buy_count_log1p        | -0.2126  |
|      lob_depth_ratio_2       | -0.1596  |
|      imbalance_depth_5       | -0.1408  |
|      imbalance_depth_2       |  0.1328  |
|     min_trade_size_log1p     | -0.1307  |
|      lob_depth_ratio_5       |  0.1288  |
|         imbalance_10         | -0.1075  |
|      lob_depth_ratio_3       | -0.1064  |
|     trade_volume_change      | -0.0953  |
|         vol_5_log1p          | -0.0781  |
|   lob_bids_volume_3_log1p    |  0.0751  |
|    trade_volume_imbalance    |  0.0702  |
|      sell_volume_log1p       | -0.0644  |
|      imbalance_depth_4       |  0.0625  |
|      lob_depth_ratio_4       | -0.0586  |
|       sell_count_log1p       | -0.0476  |
|         imbalance_5          |  0.0442  |
|       liquidity_log1p        | -0.0396  |
|   lob_bids_volume_6_log1p    |  0.0383  |
|     mid_price_change_20      |  0.0361  |
|      imbalance_depth_1       | -0.0335  |
|         imbalance_1          | -0.0335  |
|      lob_depth_ratio_10      | -0.0312  |
|       buy_volume_log1p       |  0.0311  |
|      imbalance_depth_9       | -0.0302  |
|   lob_bids_volume_8_log1p    | -0.0294  |
|   lob_bids_volume_5_log1p    | -0.0264  |
|      imbalance_depth_3       |  0.0234  |
|      imbalance_depth_7       | -0.0222  |
|   lob_bids_volume_2_log1p    |  0.0204  |
|      mid_price_change_5      | -0.0171  |
| lag_trade_volume_imbalance_5 |  0.017   |
|      imbalance_depth_6       | -0.0159  |
| lag_trade_volume_imbalance_3 |  0.0156  |
|         log_return_2         | -0.0143  |
| lag_trade_volume_imbalance_1 |  0.0133  |
|      microprice_change       |  0.0125  |
|      mid_price_change_1      | -0.0123  |
|   lob_bids_volume_7_log1p    | -0.0114  |
|         log_return_5         |  0.0111  |
|   momentum_5_log_return_1    |  0.0111  |
|         log_return_3         |  0.0102  |
|      imbalance_depth_8       |  0.0091  |
|         spread_log1p         | -0.0084  |
| lag_trade_volume_imbalance_2 | -0.0081  |
|      imbalance_depth_10      |  0.0079  |
|      lob_depth_ratio_6       | -0.0078  |
|   lob_bids_volume_10_log1p   | -0.0065  |
|         log_return_1         |  0.0061  |
|   lob_bids_volume_4_log1p    | -0.0042  |
|    mid_minus_micro_log1p     | -0.0039  |
|      lob_depth_ratio_8       | -0.0034  |
|        log_return_20         |  0.0018  |
|   momentum_20_log_return_1   |  0.0018  |
|   lob_bids_volume_9_log1p    |  0.0013  |
|      lob_depth_ratio_7       |  0.0006  |
|      lob_depth_ratio_9       | -0.0003  |
+------------------------------+----------+
