+------------------------------+---------+
|           feature            |   coef  |
+------------------------------+---------+
|    realized_vol_20_log1p     |  1.5793 |
|      trade_count_log1p       |  1.1532 |
|     max_trade_size_log1p     |  0.8459 |
|  total_ask_volume_10_log1p   | -0.8043 |
|         vol_20_log1p         | -0.6813 |
|    max_over_average_log1p    | -0.6795 |
|   total_book_volume_log1p    |  0.5962 |
|     std_trade_size_log1p     |  -0.562 |
|     avg_trade_size_log1p     | -0.5514 |
|      trade_count_change      |  0.4672 |
|  total_bid_volume_10_log1p   | -0.4191 |
| max_bid_ask_vol_ratio_log1p  |  0.3706 |
|     realized_vol_5_log1p     |  0.3599 |
|         imbalance_10         | -0.3421 |
|   lob_bids_volume_1_log1p    |  -0.284 |
|         spread_log1p         |  0.2426 |
|   total_trade_volume_log1p   |  0.2191 |
|      lob_depth_ratio_2       | -0.1958 |
|       buy_count_log1p        | -0.1822 |
|      imbalance_depth_2       |  0.1648 |
|         imbalance_5          |  0.1118 |
|      imbalance_depth_5       | -0.1015 |
|       rel_spread_log1p       |  0.0947 |
|   lob_bids_volume_3_log1p    |  0.0927 |
|      lob_depth_ratio_3       |  -0.091 |
|       liquidity_log1p        | -0.0909 |
|     trade_volume_change      |  -0.086 |
|      sell_volume_log1p       | -0.0765 |
|      lob_depth_ratio_5       |  0.0748 |
|         vol_5_log1p          | -0.0732 |
|         log_return_2         | -0.0631 |
|    trade_volume_imbalance    |  0.063  |
|    microprice_weighted_10    | -0.0592 |
|         log_return_3         |  0.0584 |
|       sell_count_log1p       | -0.0539 |
|          microprice          | -0.0508 |
|      imbalance_depth_8       |  0.0504 |
|         imbalance_1          |  0.0474 |
|      imbalance_depth_1       |  0.0474 |
|      lob_depth_ratio_4       | -0.0471 |
|      lob_depth_ratio_10      | -0.0427 |
|      imbalance_depth_4       |  0.0398 |
|      imbalance_depth_9       |  -0.038 |
|   lob_bids_volume_5_log1p    | -0.0335 |
|      imbalance_depth_10      |  0.0323 |
| lag_trade_volume_imbalance_5 |  0.032  |
|      imbalance_depth_6       | -0.0294 |
|      lob_depth_ratio_8       |  -0.029 |
|   lob_bids_volume_6_log1p    |  0.0255 |
|   lob_bids_volume_9_log1p    |  -0.024 |
|      lob_depth_ratio_6       |  0.0223 |
|      imbalance_depth_3       |  0.021  |
|      lob_depth_ratio_9       |  0.0191 |
|     mid_price_change_20      |  0.0188 |
| lag_trade_volume_imbalance_1 |  0.0187 |
| lag_trade_volume_imbalance_2 |  -0.017 |
|     min_trade_size_log1p     | -0.0167 |
|   lob_bids_volume_7_log1p    | -0.0161 |
|   lob_bids_volume_10_log1p   | -0.0145 |
|      mid_price_change_1      | -0.0126 |
|   lob_bids_volume_2_log1p    |  0.0126 |
|      lob_depth_ratio_7       |  -0.012 |
| lag_trade_volume_imbalance_3 |  0.0118 |
|   momentum_20_log_return_1   |  0.007  |
|        log_return_20         |  0.007  |
|   lob_bids_volume_8_log1p    | -0.0068 |
|   lob_bids_volume_4_log1p    | -0.0068 |
|      microprice_change       | -0.0056 |
|         log_return_5         |  0.0053 |
|   momentum_5_log_return_1    |  0.0053 |
|      mid_price_change_5      |  0.0045 |
|      imbalance_depth_7       |   0.0   |
|         log_return_1         |   0.0   |
|    mid_minus_micro_log1p     |   0.0   |
|       buy_volume_log1p       |   0.0   |
+------------------------------+---------+
