+------------------------------+-------------+
|        Fold_8_feature        | Fold_8_coef |
+------------------------------+-------------+
|    realized_vol_20_log1p     |    1.0971   |
|         vol_20_log1p         |   -0.8291   |
|   lob_asks_volume_1_log1p    |   -0.5563   |
| max_bid_ask_vol_ratio_log1p  |    0.4842   |
|  total_bid_volume_10_log1p   |   -0.4302   |
|  total_ask_volume_10_log1p   |   -0.4119   |
|   total_book_volume_log1p    |    0.3474   |
|     realized_vol_5_log1p     |    0.3333   |
|   lob_bids_volume_1_log1p    |   -0.2821   |
|    mid_minus_micro_log1p     |    0.2327   |
|      imbalance_depth_1       |   -0.2178   |
|         imbalance_1          |   -0.2178   |
|      trade_count_log1p       |   -0.2019   |
|       rel_spread_log1p       |    0.201    |
|     max_trade_size_log1p     |    0.1978   |
|     min_trade_size_log1p     |   -0.1835   |
|         vol_5_log1p          |   -0.1767   |
|       buy_count_log1p        |    0.1574   |
|     std_trade_size_log1p     |   -0.1511   |
|      imbalance_depth_9       |   -0.1275   |
|       liquidity_log1p        |    0.1233   |
|      lob_depth_ratio_9       |    0.121    |
|      imbalance_depth_2       |   -0.1172   |
|      trade_count_change      |    0.1042   |
|      lob_depth_ratio_2       |    0.1007   |
|       sell_count_log1p       |    0.0993   |
|    trade_volume_imbalance    |    0.0969   |
|   lob_bids_volume_9_log1p    |    0.0891   |
|     avg_trade_size_log1p     |    0.0844   |
|         log_return_2         |   -0.0765   |
|   total_trade_volume_log1p   |   -0.0745   |
|      microprice_change       |    0.0713   |
| lag_trade_volume_imbalance_5 |    0.0684   |
|      sell_volume_log1p       |    0.0661   |
|   lob_asks_volume_7_log1p    |   -0.0605   |
|   lob_bids_volume_4_log1p    |    0.0583   |
|      lob_depth_ratio_5       |    0.0579   |
|   lob_bids_volume_2_log1p    |   -0.0554   |
|         log_return_3         |    0.0544   |
|   lob_bids_volume_10_log1p   |   -0.0521   |
|   lob_asks_volume_9_log1p    |    0.0474   |
|    max_over_average_log1p    |   -0.0463   |
| lag_trade_volume_imbalance_1 |    0.0458   |
|    trade_count_imbalance     |   -0.0406   |
|      imbalance_depth_10      |    0.0339   |
|      imbalance_depth_4       |    0.0335   |
|   lob_asks_volume_6_log1p    |    0.0321   |
|   lob_bids_volume_5_log1p    |   -0.0315   |
|      lob_depth_ratio_6       |    0.0309   |
|      lob_depth_ratio_10      |   -0.0286   |
|   lob_asks_volume_5_log1p    |   -0.0251   |
|     mid_price_change_20      |   -0.0247   |
|   lob_asks_volume_8_log1p    |    0.0243   |
|      mid_price_change_5      |   -0.0242   |
| lag_trade_volume_imbalance_2 |    0.024    |
|   lob_bids_volume_6_log1p    |    0.0231   |
|   lob_asks_volume_3_log1p    |    0.0197   |
| lag_trade_volume_imbalance_3 |   -0.0196   |
|      imbalance_depth_8       |    -0.019   |
|        log_return_20         |    0.0184   |
|   momentum_20_log_return_1   |    0.0184   |
|      imbalance_depth_7       |   -0.0163   |
|      lob_depth_ratio_8       |   -0.0148   |
|      imbalance_depth_6       |    0.0144   |
|         spread_log1p         |   -0.0127   |
|      lob_depth_ratio_7       |   -0.0125   |
|      mid_price_change_1      |   -0.0112   |
|   lob_asks_volume_2_log1p    |    0.0102   |
|      imbalance_depth_3       |   -0.0081   |
|           return_5           |   -0.0069   |
|   lob_asks_volume_10_log1p   |   -0.0058   |
|   lob_bids_volume_8_log1p    |    0.0056   |
|   lob_bids_volume_7_log1p    |   -0.0053   |
|         log_return_5         |   -0.0048   |
|   momentum_5_log_return_1    |   -0.0048   |
|   lob_asks_volume_4_log1p    |    0.0024   |
|     trade_volume_change      |   -0.0015   |
|      lob_depth_ratio_3       |     0.0     |
|      lob_depth_ratio_4       |     0.0     |
|         imbalance_5          |     0.0     |
|          microprice          |     0.0     |
|      imbalance_depth_5       |     0.0     |
|         imbalance_10         |     0.0     |
|    microprice_weighted_10    |     0.0     |
|   lob_bids_volume_3_log1p    |     0.0     |
|           return_1           |     0.0     |
|         log_return_1         |     0.0     |
|       buy_volume_log1p       |     0.0     |
+------------------------------+-------------+
